Municipios;Sexo;Periodo;Total
08002 Aguilar de Segarra;Hombres;2011;131
08002 Aguilar de Segarra;Hombres;2010;133
08002 Aguilar de Segarra;Hombres;2009;135
08002 Aguilar de Segarra;Hombres;2008;132
08002 Aguilar de Segarra;Hombres;2007;131
08002 Aguilar de Segarra;Hombres;2006;133
08002 Aguilar de Segarra;Hombres;2005;123
08002 Aguilar de Segarra;Hombres;2004;122
08002 Aguilar de Segarra;Hombres;2003;117
08002 Aguilar de Segarra;Hombres;2002;112
08002 Aguilar de Segarra;Hombres;2001;104
08002 Aguilar de Segarra;Hombres;2000;106
08002 Aguilar de Segarra;Hombres;1999;106
08002 Aguilar de Segarra;Hombres;1998;104
08002 Aguilar de Segarra;Hombres;1997;""
08002 Aguilar de Segarra;Hombres;1996;100
08002 Aguilar de Segarra;Mujeres;2025;134
08002 Aguilar de Segarra;Mujeres;2024;135
08002 Aguilar de Segarra;Mujeres;2023;136
08002 Aguilar de Segarra;Mujeres;2022;133
08002 Aguilar de Segarra;Mujeres;2021;132
08002 Aguilar de Segarra;Mujeres;2020;134
08002 Aguilar de Segarra;Mujeres;2019;133
08002 Aguilar de Segarra;Mujeres;2018;129
08002 Aguilar de Segarra;Mujeres;2017;121
08002 Aguilar de Segarra;Mujeres;2016;120
08002 Aguilar de Segarra;Mujeres;2015;115
08002 Aguilar de Segarra;Mujeres;2014;119
08002 Aguilar de Segarra;Mujeres;2013;114
08002 Aguilar de Segarra;Mujeres;2012;118
08002 Aguilar de Segarra;Mujeres;2011;114
08002 Aguilar de Segarra;Mujeres;2010;120
08002 Aguilar de Segarra;Mujeres;2009;122
08002 Aguilar de Segarra;Mujeres;2008;117
08002 Aguilar de Segarra;Mujeres;2007;121
08002 Aguilar de Segarra;Mujeres;2006;117
08002 Aguilar de Segarra;Mujeres;2005;112
08002 Aguilar de Segarra;Mujeres;2004;108
08002 Aguilar de Segarra;Mujeres;2003;107
08002 Aguilar de Segarra;Mujeres;2002;103
08002 Aguilar de Segarra;Mujeres;2001;104
08002 Aguilar de Segarra;Mujeres;2000;107
08002 Aguilar de Segarra;Mujeres;1999;107
08002 Aguilar de Segarra;Mujeres;1998;107
08002 Aguilar de Segarra;Mujeres;1997;""
08002 Aguilar de Segarra;Mujeres;1996;106
08014 Aiguafreda;Total;2025;2.569
08014 Aiguafreda;Total;2024;2.576
08014 Aiguafreda;Total;2023;2.567
08014 Aiguafreda;Total;2022;2.552
08014 Aiguafreda;Total;2021;2.556
08014 Aiguafreda;Total;2020;2.512
08014 Aiguafreda;Total;2019;2.504
08014 Aiguafreda;Total;2018;2.501
08014 Aiguafreda;Total;2017;2.514
08014 Aiguafreda;Total;2016;2.467
08014 Aiguafreda;Total;2015;2.465
08014 Aiguafreda;Total;2014;2.498
08014 Aiguafreda;Total;2013;2.502
08014 Aiguafreda;Total;2012;2.478
08014 Aiguafreda;Total;2011;2.481
08014 Aiguafreda;Total;2010;2.505
08014 Aiguafreda;Total;2009;2.464
08014 Aiguafreda;Total;2008;2.428
08014 Aiguafreda;Total;2007;2.375
08014 Aiguafreda;Total;2006;2.373
08014 Aiguafreda;Total;2005;2.308
08014 Aiguafreda;Total;2004;2.241
08014 Aiguafreda;Total;2003;2.206
08014 Aiguafreda;Total;2002;2.175
08014 Aiguafreda;Total;2001;2.131
08014 Aiguafreda;Total;2000;2.147
08014 Aiguafreda;Total;1999;2.162
08014 Aiguafreda;Total;1998;2.150
08014 Aiguafreda;Total;1997;""
08014 Aiguafreda;Total;1996;2.090
08014 Aiguafreda;Hombres;2025;1.270
08014 Aiguafreda;Hombres;2024;1.257
08014 Aiguafreda;Hombres;2023;1.242
08014 Aiguafreda;Hombres;2022;1.249
08014 Aiguafreda;Hombres;2021;1.239
08014 Aiguafreda;Hombres;2020;1.221
08014 Aiguafreda;Hombres;2019;1.208
08014 Aiguafreda;Hombres;2018;1.204
08014 Aiguafreda;Hombres;2017;1.204
08014 Aiguafreda;Hombres;2016;1.172
08014 Aiguafreda;Hombres;2015;1.175
08014 Aiguafreda;Hombres;2014;1.194
08014 Aiguafreda;Hombres;2013;1.209
08014 Aiguafreda;Hombres;2012;1.198
08014 Aiguafreda;Hombres;2011;1.200
08014 Aiguafreda;Hombres;2010;1.207
08014 Aiguafreda;Hombres;2009;1.195
08014 Aiguafreda;Hombres;2008;1.178
08014 Aiguafreda;Hombres;2007;1.144
08014 Aiguafreda;Hombres;2006;1.151
08014 Aiguafreda;Hombres;2005;1.122
08014 Aiguafreda;Hombres;2004;1.078
08014 Aiguafreda;Hombres;2003;1.075
08014 Aiguafreda;Hombres;2002;1.070
08014 Aiguafreda;Hombres;2001;1.053
08014 Aiguafreda;Hombres;2000;1.054
08014 Aiguafreda;Hombres;1999;1.061
08014 Aiguafreda;Hombres;1998;1.047
08014 Aiguafreda;Hombres;1997;""
08014 Aiguafreda;Hombres;1996;1.019
08014 Aiguafreda;Mujeres;2025;1.299
08014 Aiguafreda;Mujeres;2024;1.319
08014 Aiguafreda;Mujeres;2023;1.325
08014 Aiguafreda;Mujeres;2022;1.303
08014 Aiguafreda;Mujeres;2021;1.317
08014 Aiguafreda;Mujeres;2020;1.291
08014 Aiguafreda;Mujeres;2019;1.296
08014 Aiguafreda;Mujeres;2018;1.297
08014 Aiguafreda;Mujeres;2017;1.310
08014 Aiguafreda;Mujeres;2016;1.295
08014 Aiguafreda;Mujeres;2015;1.290
08014 Aiguafreda;Mujeres;2014;1.304
08014 Aiguafreda;Mujeres;2013;1.293
08014 Aiguafreda;Mujeres;2012;1.280
08014 Aiguafreda;Mujeres;2011;1.281
08014 Aiguafreda;Mujeres;2010;1.298
08014 Aiguafreda;Mujeres;2009;1.269
08014 Aiguafreda;Mujeres;2008;1.250
08014 Aiguafreda;Mujeres;2007;1.231
08014 Aiguafreda;Mujeres;2006;1.222
08014 Aiguafreda;Mujeres;2005;1.186
08014 Aiguafreda;Mujeres;2004;1.163
08014 Aiguafreda;Mujeres;2003;1.131
08014 Aiguafreda;Mujeres;2002;1.105
08014 Aiguafreda;Mujeres;2001;1.078
08014 Aiguafreda;Mujeres;2000;1.093
08014 Aiguafreda;Mujeres;1999;1.101
08014 Aiguafreda;Mujeres;1998;1.103
08014 Aiguafreda;Mujeres;1997;""
08014 Aiguafreda;Mujeres;1996;1.071
08003 Alella;Total;2025;10.262
08003 Alella;Total;2024;10.217
08003 Alella;Total;2023;10.139
08003 Alella;Total;2022;10.079
08003 Alella;Total;2021;9.954
08003 Alella;Total;2020;9.904
08003 Alella;Total;2019;9.801
08003 Alella;Total;2018;9.764
08003 Alella;Total;2017;9.625
08003 Alella;Total;2016;9.632
08003 Alella;Total;2015;9.660
08003 Alella;Total;2014;9.651
08003 Alella;Total;2013;9.690
08003 Alella;Total;2012;9.610
08003 Alella;Total;2011;9.570
08003 Alella;Total;2010;9.557
08003 Alella;Total;2009;9.397
08003 Alella;Total;2008;9.260
08003 Alella;Total;2007;8.998
08003 Alella;Total;2006;9.013
08003 Alella;Total;2005;8.940
08003 Alella;Total;2004;8.831
08003 Alella;Total;2003;8.847
08003 Alella;Total;2002;8.796
08003 Alella;Total;2001;8.614
08003 Alella;Total;2000;8.413
08003 Alella;Total;1999;8.176
08003 Alella;Total;1998;7.889
08003 Alella;Total;1997;""
08003 Alella;Total;1996;7.696
08003 Alella;Hombres;2025;4.993
08003 Alella;Hombres;2024;4.977
08003 Alella;Hombres;2023;4.946
08003 Alella;Hombres;2022;4.931
08003 Alella;Hombres;2021;4.879
08003 Alella;Hombres;2020;4.838
08003 Alella;Hombres;2019;4.762
08003 Alella;Hombres;2018;4.751
08003 Alella;Hombres;2017;4.704
08003 Alella;Hombres;2016;4.690
08003 Alella;Hombres;2015;4.726
08003 Alella;Hombres;2014;4.722
08003 Alella;Hombres;2013;4.736
08003 Alella;Hombres;2012;4.716
08003 Alella;Hombres;2011;4.705
08003 Alella;Hombres;2010;4.702
08003 Alella;Hombres;2009;4.637
08003 Alella;Hombres;2008;4.545
08003 Alella;Hombres;2007;4.433
08003 Alella;Hombres;2006;4.444
08003 Alella;Hombres;2005;4.427
08003 Alella;Hombres;2004;4.371
08003 Alella;Hombres;2003;4.408
08003 Alella;Hombres;2002;4.379
08003 Alella;Hombres;2001;4.295
08003 Alella;Hombres;2000;4.180
08003 Alella;Hombres;1999;4.045
08003 Alella;Hombres;1998;3.901
08003 Alella;Hombres;1997;""
08003 Alella;Hombres;1996;3.768
08003 Alella;Mujeres;2025;5.269
08003 Alella;Mujeres;2024;5.240
08003 Alella;Mujeres;2023;5.193
08003 Alella;Mujeres;2022;5.148
08003 Alella;Mujeres;2021;5.075
08003 Alella;Mujeres;2020;5.066
08003 Alella;Mujeres;2019;5.039
08003 Alella;Mujeres;2018;5.013
08003 Alella;Mujeres;2017;4.921
08003 Alella;Mujeres;2016;4.942
08003 Alella;Mujeres;2015;4.934
08003 Alella;Mujeres;2014;4.929
08003 Alella;Mujeres;2013;4.954
08003 Alella;Mujeres;2012;4.894
08003 Alella;Mujeres;2011;4.865
08003 Alella;Mujeres;2010;4.855
08003 Alella;Mujeres;2009;4.760
08003 Alella;Mujeres;2008;4.715
08003 Alella;Mujeres;2007;4.565
08003 Alella;Mujeres;2006;4.569
08003 Alella;Mujeres;2005;4.513
08003 Alella;Mujeres;2004;4.460
08003 Alella;Mujeres;2003;4.439
08003 Alella;Mujeres;2002;4.417
08003 Alella;Mujeres;2001;4.319
08003 Alella;Mujeres;2000;4.233
08003 Alella;Mujeres;1999;4.131
08003 Alella;Mujeres;1998;3.988
08003 Alella;Mujeres;1997;""
08003 Alella;Mujeres;1996;3.928
08004 Alpens;Total;2025;267
08004 Alpens;Total;2024;270
08004 Alpens;Total;2023;273
08004 Alpens;Total;2022;281
08004 Alpens;Total;2021;269
08004 Alpens;Total;2020;261
08004 Alpens;Total;2019;266
08004 Alpens;Total;2018;273
08004 Alpens;Total;2017;277
08004 Alpens;Total;2016;294
08004 Alpens;Total;2015;290
08004 Alpens;Total;2014;300
08004 Alpens;Total;2013;304
08004 Alpens;Total;2012;304
08004 Alpens;Total;2011;302
08004 Alpens;Total;2010;303
08004 Alpens;Total;2009;311
08004 Alpens;Total;2008;312
08004 Alpens;Total;2007;303
08004 Alpens;Total;2006;307
08004 Alpens;Total;2005;288
08004 Alpens;Total;2004;290
08004 Alpens;Total;2003;287
08004 Alpens;Total;2002;277
08004 Alpens;Total;2001;274
08004 Alpens;Total;2000;264
08004 Alpens;Total;1999;266
08004 Alpens;Total;1998;273
08004 Alpens;Total;1997;""
08004 Alpens;Total;1996;256
08004 Alpens;Hombres;2025;148
08004 Alpens;Hombres;2024;146
08004 Alpens;Hombres;2023;149
08004 Alpens;Hombres;2022;150
08004 Alpens;Hombres;2021;143
08004 Alpens;Hombres;2020;137
08004 Alpens;Hombres;2019;144
08004 Alpens;Hombres;2018;146
08004 Alpens;Hombres;2017;144
08004 Alpens;Hombres;2016;153
08004 Alpens;Hombres;2015;156
08004 Alpens;Hombres;2014;162
08004 Alpens;Hombres;2013;167
08004 Alpens;Hombres;2012;164
08004 Alpens;Hombres;2011;165
08004 Alpens;Hombres;2010;164
08004 Alpens;Hombres;2009;168
08004 Alpens;Hombres;2008;173
08004 Alpens;Hombres;2007;167
08004 Alpens;Hombres;2006;165
08004 Alpens;Hombres;2005;153
08004 Alpens;Hombres;2004;156
08004 Alpens;Hombres;2003;154
08004 Alpens;Hombres;2002;150
08004 Alpens;Hombres;2001;144
08004 Alpens;Hombres;2000;140
08004 Alpens;Hombres;1999;143
08004 Alpens;Hombres;1998;150
08004 Alpens;Hombres;1997;""
08004 Alpens;Hombres;1996;139
08004 Alpens;Mujeres;2025;119
08004 Alpens;Mujeres;2024;124
08004 Alpens;Mujeres;2023;124
08004 Alpens;Mujeres;2022;131
08004 Alpens;Mujeres;2021;126
08004 Alpens;Mujeres;2020;124
08004 Alpens;Mujeres;2019;122
08004 Alpens;Mujeres;2018;127
08004 Alpens;Mujeres;2017;133
08004 Alpens;Mujeres;2016;141
08004 Alpens;Mujeres;2015;134
08004 Alpens;Mujeres;2014;138
08004 Alpens;Mujeres;2013;137
08004 Alpens;Mujeres;2012;140
08004 Alpens;Mujeres;2011;137
08004 Alpens;Mujeres;2010;139
08004 Alpens;Mujeres;2009;143
08004 Alpens;Mujeres;2008;139
08004 Alpens;Mujeres;2007;136
08004 Alpens;Mujeres;2006;142
08004 Alpens;Mujeres;2005;135
08004 Alpens;Mujeres;2004;134
08004 Alpens;Mujeres;2003;133
08004 Alpens;Mujeres;2002;127
08004 Alpens;Mujeres;2001;130
08004 Alpens;Mujeres;2000;124
08004 Alpens;Mujeres;1999;123
08004 Alpens;Mujeres;1998;123
08004 Alpens;Mujeres;1997;""
08004 Alpens;Mujeres;1996;117
08005 Ametlla del Vallès, L';Total;2025;9.474
08005 Ametlla del Vallès, L';Total;2024;9.462
08005 Ametlla del Vallès, L';Total;2023;9.296
08005 Ametlla del Vallès, L';Total;2022;9.020
08005 Ametlla del Vallès, L';Total;2021;8.787
08005 Ametlla del Vallès, L';Total;2020;8.646
08005 Ametlla del Vallès, L';Total;2019;8.462
08005 Ametlla del Vallès, L';Total;2018;8.496
08005 Ametlla del Vallès, L';Total;2017;8.368
08005 Ametlla del Vallès, L';Total;2016;8.337
08005 Ametlla del Vallès, L';Total;2015;8.303
08005 Ametlla del Vallès, L';Total;2014;8.283
08005 Ametlla del Vallès, L';Total;2013;8.227
08005 Ametlla del Vallès, L';Total;2012;8.190
08005 Ametlla del Vallès, L';Total;2011;8.111
08005 Ametlla del Vallès, L';Total;2010;8.112
08005 Ametlla del Vallès, L';Total;2009;7.949
08005 Ametlla del Vallès, L';Total;2008;7.796
08005 Ametlla del Vallès, L';Total;2007;7.632
08005 Ametlla del Vallès, L';Total;2006;7.517
08005 Ametlla del Vallès, L';Total;2005;7.319
08005 Ametlla del Vallès, L';Total;2004;7.111
08005 Ametlla del Vallès, L';Total;2003;6.757
08005 Ametlla del Vallès, L';Total;2002;6.328
08005 Ametlla del Vallès, L';Total;2001;5.910
08005 Ametlla del Vallès, L';Total;2000;5.697
08005 Ametlla del Vallès, L';Total;1999;5.294
08005 Ametlla del Vallès, L';Total;1998;5.041
08005 Ametlla del Vallès, L';Total;1997;""
08005 Ametlla del Vallès, L';Total;1996;4.771
08005 Ametlla del Vallès, L';Hombres;2025;4.778
08005 Ametlla del Vallès, L';Hombres;2024;4.764
08005 Ametlla del Vallès, L';Hombres;2023;4.666
08005 Ametlla del Vallès, L';Hombres;2022;4.529
08005 Ametlla del Vallès, L';Hombres;2021;4.427
08005 Ametlla del Vallès, L';Hombres;2020;4.358
08005 Ametlla del Vallès, L';Hombres;2019;4.277
08005 Ametlla del Vallès, L';Hombres;2018;4.285
08005 Ametlla del Vallès, L';Hombres;2017;4.228
08005 Ametlla del Vallès, L';Hombres;2016;4.199
08005 Ametlla del Vallès, L';Hombres;2015;4.178
08005 Ametlla del Vallès, L';Hombres;2014;4.177
08005 Ametlla del Vallès, L';Hombres;2013;4.129
08005 Ametlla del Vallès, L';Hombres;2012;4.119
08005 Ametlla del Vallès, L';Hombres;2011;4.081
08005 Ametlla del Vallès, L';Hombres;2010;4.073
08005 Ametlla del Vallès, L';Hombres;2009;3.991
08005 Ametlla del Vallès, L';Hombres;2008;3.893
