Municipios;Sexo;Periodo;Total
17002 Aiguaviva;Hombres;1996;215
17002 Aiguaviva;Mujeres;2025;388
17002 Aiguaviva;Mujeres;2024;399
17002 Aiguaviva;Mujeres;2023;386
17002 Aiguaviva;Mujeres;2022;393
17002 Aiguaviva;Mujeres;2021;394
17002 Aiguaviva;Mujeres;2020;380
17002 Aiguaviva;Mujeres;2019;373
17002 Aiguaviva;Mujeres;2018;379
17002 Aiguaviva;Mujeres;2017;384
17002 Aiguaviva;Mujeres;2016;372
17002 Aiguaviva;Mujeres;2015;384
17002 Aiguaviva;Mujeres;2014;391
17002 Aiguaviva;Mujeres;2013;399
17002 Aiguaviva;Mujeres;2012;391
17002 Aiguaviva;Mujeres;2011;374
17002 Aiguaviva;Mujeres;2010;359
17002 Aiguaviva;Mujeres;2009;352
17002 Aiguaviva;Mujeres;2008;332
17002 Aiguaviva;Mujeres;2007;304
17002 Aiguaviva;Mujeres;2006;302
17002 Aiguaviva;Mujeres;2005;297
17002 Aiguaviva;Mujeres;2004;292
17002 Aiguaviva;Mujeres;2003;292
17002 Aiguaviva;Mujeres;2002;280
17002 Aiguaviva;Mujeres;2001;267
17002 Aiguaviva;Mujeres;2000;254
17002 Aiguaviva;Mujeres;1999;235
17002 Aiguaviva;Mujeres;1998;225
17002 Aiguaviva;Mujeres;1997;""
17002 Aiguaviva;Mujeres;1996;217
17003 Albanyà;Total;2025;157
17003 Albanyà;Total;2024;168
17003 Albanyà;Total;2023;171
17003 Albanyà;Total;2022;180
17003 Albanyà;Total;2021;178
17003 Albanyà;Total;2020;155
17003 Albanyà;Total;2019;157
17003 Albanyà;Total;2018;139
17003 Albanyà;Total;2017;141
17003 Albanyà;Total;2016;147
17003 Albanyà;Total;2015;149
17003 Albanyà;Total;2014;155
17003 Albanyà;Total;2013;164
17003 Albanyà;Total;2012;153
17003 Albanyà;Total;2011;150
17003 Albanyà;Total;2010;149
17003 Albanyà;Total;2009;152
17003 Albanyà;Total;2008;143
17003 Albanyà;Total;2007;137
17003 Albanyà;Total;2006;137
17003 Albanyà;Total;2005;131
17003 Albanyà;Total;2004;135
17003 Albanyà;Total;2003;116
17003 Albanyà;Total;2002;110
17003 Albanyà;Total;2001;125
17003 Albanyà;Total;2000;128
17003 Albanyà;Total;1999;137
17003 Albanyà;Total;1998;131
17003 Albanyà;Total;1997;""
17003 Albanyà;Total;1996;123
17003 Albanyà;Hombres;2025;79
17003 Albanyà;Hombres;2024;85
17003 Albanyà;Hombres;2023;88
17003 Albanyà;Hombres;2022;94
17003 Albanyà;Hombres;2021;90
17003 Albanyà;Hombres;2020;79
17003 Albanyà;Hombres;2019;80
17003 Albanyà;Hombres;2018;72
17003 Albanyà;Hombres;2017;75
17003 Albanyà;Hombres;2016;82
17003 Albanyà;Hombres;2015;85
17003 Albanyà;Hombres;2014;85
17003 Albanyà;Hombres;2013;90
17003 Albanyà;Hombres;2012;85
17003 Albanyà;Hombres;2011;84
17003 Albanyà;Hombres;2010;83
17003 Albanyà;Hombres;2009;81
17003 Albanyà;Hombres;2008;76
17003 Albanyà;Hombres;2007;70
17003 Albanyà;Hombres;2006;72
17003 Albanyà;Hombres;2005;72
17003 Albanyà;Hombres;2004;71
17003 Albanyà;Hombres;2003;62
17003 Albanyà;Hombres;2002;59
17003 Albanyà;Hombres;2001;66
17003 Albanyà;Hombres;2000;68
17003 Albanyà;Hombres;1999;73
17003 Albanyà;Hombres;1998;69
17003 Albanyà;Hombres;1997;""
17003 Albanyà;Hombres;1996;64
17003 Albanyà;Mujeres;2025;78
17003 Albanyà;Mujeres;2024;83
17003 Albanyà;Mujeres;2023;83
17003 Albanyà;Mujeres;2022;86
17003 Albanyà;Mujeres;2021;88
17003 Albanyà;Mujeres;2020;76
17003 Albanyà;Mujeres;2019;77
17003 Albanyà;Mujeres;2018;67
17003 Albanyà;Mujeres;2017;66
17003 Albanyà;Mujeres;2016;65
17003 Albanyà;Mujeres;2015;64
17003 Albanyà;Mujeres;2014;70
17003 Albanyà;Mujeres;2013;74
17003 Albanyà;Mujeres;2012;68
17003 Albanyà;Mujeres;2011;66
17003 Albanyà;Mujeres;2010;66
17003 Albanyà;Mujeres;2009;71
17003 Albanyà;Mujeres;2008;67
17003 Albanyà;Mujeres;2007;67
17003 Albanyà;Mujeres;2006;65
17003 Albanyà;Mujeres;2005;59
17003 Albanyà;Mujeres;2004;64
17003 Albanyà;Mujeres;2003;54
17003 Albanyà;Mujeres;2002;51
17003 Albanyà;Mujeres;2001;59
17003 Albanyà;Mujeres;2000;60
17003 Albanyà;Mujeres;1999;64
17003 Albanyà;Mujeres;1998;62
