Municipios;Sexo;Periodo;Total
43009 Alforja;Total;2025;2.024
43009 Alforja;Total;2024;2.019
43009 Alforja;Total;2023;1.965
43009 Alforja;Total;2022;1.928
43009 Alforja;Total;2021;1.843
43009 Alforja;Hombres;2025;1.019
43009 Alforja;Hombres;2024;1.022
43009 Alforja;Hombres;2023;992
43009 Alforja;Hombres;2022;978
43009 Alforja;Hombres;2021;937
43009 Alforja;Mujeres;2025;1.005
43009 Alforja;Mujeres;2024;997
43009 Alforja;Mujeres;2023;973
43009 Alforja;Mujeres;2022;950
43009 Alforja;Mujeres;2021;906
43010 Alió;Total;2025;496
43010 Alió;Total;2024;504
43010 Alió;Total;2023;508
43010 Alió;Total;2022;496
43010 Alió;Total;2021;478
43010 Alió;Hombres;2025;244
43010 Alió;Hombres;2024;245
43010 Alió;Hombres;2023;250
43010 Alió;Hombres;2022;247
43010 Alió;Hombres;2021;237
43010 Alió;Mujeres;2025;252
43010 Alió;Mujeres;2024;259
43010 Alió;Mujeres;2023;258
43010 Alió;Mujeres;2022;249
43010 Alió;Mujeres;2021;241
43011 Almoster;Total;2025;1.384
43011 Almoster;Total;2024;1.338
43011 Almoster;Total;2023;1.310
43011 Almoster;Total;2022;1.334
43011 Almoster;Total;2021;1.322
43011 Almoster;Hombres;2025;695
43011 Almoster;Hombres;2024;674
43011 Almoster;Hombres;2023;658
43011 Almoster;Hombres;2022;666
43011 Almoster;Hombres;2021;658
43011 Almoster;Mujeres;2025;689
43011 Almoster;Mujeres;2024;664
43011 Almoster;Mujeres;2023;652
43011 Almoster;Mujeres;2022;668
43011 Almoster;Mujeres;2021;664
43012 Altafulla;Total;2025;5.870
43012 Altafulla;Total;2024;5.838
43012 Altafulla;Total;2023;5.693
43012 Altafulla;Total;2022;5.609
43012 Altafulla;Total;2021;5.512
43012 Altafulla;Hombres;2025;2.832
43012 Altafulla;Hombres;2024;2.808
43012 Altafulla;Hombres;2023;2.753
43012 Altafulla;Hombres;2022;2.729
43012 Altafulla;Hombres;2021;2.679
43012 Altafulla;Mujeres;2025;3.038
43012 Altafulla;Mujeres;2024;3.030
43012 Altafulla;Mujeres;2023;2.940
43012 Altafulla;Mujeres;2022;2.880
43012 Altafulla;Mujeres;2021;2.833
43013 Ametlla de Mar, L';Total;2025;7.446
43013 Ametlla de Mar, L';Total;2024;7.373
43013 Ametlla de Mar, L';Total;2023;7.325
43013 Ametlla de Mar, L';Total;2022;7.209
43013 Ametlla de Mar, L';Total;2021;7.131
43013 Ametlla de Mar, L';Hombres;2025;3.803
43013 Ametlla de Mar, L';Hombres;2024;3.764
43013 Ametlla de Mar, L';Hombres;2023;3.714
43013 Ametlla de Mar, L';Hombres;2022;3.655
43013 Ametlla de Mar, L';Hombres;2021;3.620
43013 Ametlla de Mar, L';Mujeres;2025;3.643
43013 Ametlla de Mar, L';Mujeres;2024;3.609
43013 Ametlla de Mar, L';Mujeres;2023;3.611
43013 Ametlla de Mar, L';Mujeres;2022;3.554
43013 Ametlla de Mar, L';Mujeres;2021;3.511
43906 Ampolla, L';Total;2025;3.785
43906 Ampolla, L';Total;2024;3.681
43906 Ampolla, L';Total;2023;3.603
43906 Ampolla, L';Total;2022;3.563
43906 Ampolla, L';Total;2021;3.444
43906 Ampolla, L';Hombres;2025;1.922
43906 Ampolla, L';Hombres;2024;1.868
43906 Ampolla, L';Hombres;2023;1.829
43906 Ampolla, L';Hombres;2022;1.828
43906 Ampolla, L';Hombres;2021;1.778
43906 Ampolla, L';Mujeres;2025;1.863
43906 Ampolla, L';Mujeres;2024;1.813
43906 Ampolla, L';Mujeres;2023;1.774
43906 Ampolla, L';Mujeres;2022;1.735
43906 Ampolla, L';Mujeres;2021;1.666
43014 Amposta;Total;2025;23.080
43014 Amposta;Total;2024;22.637
43014 Amposta;Total;2023;22.270
43014 Amposta;Total;2022;21.807
43014 Amposta;Total;2021;21.317
43014 Amposta;Hombres;2025;11.825
43014 Amposta;Hombres;2024;11.529
43014 Amposta;Hombres;2023;11.294
43014 Amposta;Hombres;2022;11.090
43014 Amposta;Hombres;2021;10.776
43014 Amposta;Mujeres;2025;11.255
43014 Amposta;Mujeres;2024;11.108
43014 Amposta;Mujeres;2023;10.976
43014 Amposta;Mujeres;2022;10.717
43014 Amposta;Mujeres;2021;10.541
43016 Arboç, L';Total;2025;5.721
43016 Arboç, L';Total;2024;5.758
43016 Arboç, L';Total;2023;5.713
43016 Arboç, L';Total;2022;5.604
43016 Arboç, L';Total;2021;5.625
43016 Arboç, L';Hombres;2025;2.907
43016 Arboç, L';Hombres;2024;2.928
43016 Arboç, L';Hombres;2023;2.902
43016 Arboç, L';Hombres;2022;2.852
43016 Arboç, L';Hombres;2021;2.886
43016 Arboç, L';Mujeres;2025;2.814
43016 Arboç, L';Mujeres;2024;2.830
